Drug Trials Snapshots | FDA,,,,
Brand Name (Drug Trials Snapshot),Drug Name,Original Date of FDA Approval,FDA Approved Use on Original Approval Date*,Brand Name (Prescribing Information)
ENTYVIO,vedolizumab,"May 20, 2014",Treatment of Crohn’s Disease,Entyvio
ENTYVIO,vedolizumab,"May 20, 2014",Treatment of Ulcerative Colitis,Entyvio
EPCLUSA,sofosbuvir and velpatasvir,"June 28, 2016","Treatment of chronic Hepatitis C virus genotypes 1, 2, 3, 4, 5 or 6 infection.",Epclusa
EPIDIOLEX,cannabidiol,"June 25, 2018",Treatment of seizures in two rare and severe forms of epilepsy.,Epidiolex
ERLEADA,apalutamide,"February 14, 2018",Treatment of prostate cancer that has not spread to other parts of the body (non-metastatic),Erleada
EUCRISA ,crisaborole ,"December 14, 2016 ",Treatment of mild to moderate atopic dermatitis in patients 2 age years of age and older ,Eucrisa 
EVENITY,romosozumab-aqqg,"April 9, 2019 ",For the treatment of osteoporosis in women after menopause,Evenity 
EVKEEZA,evinacumab-dgnb,"February 11, 2021",Used along with other low-density lipoprotein (LDL) lowering medicines in people older than 12 years of age with a type of high cholesterol called homozygous familial hypercholesterolemia (HoFH).,Evkeeza
EVRYSDI,risdiplam,"August 7, 2020 ",?For the treatment of spinal muscular atrophy (SMA),Evrysdi 
EXEM FOAM,air polymer-Type A,"November 7, 2019",Detection of fallopian tubes patency (openness) in women with infertility,Exem Foam
EXONDYS 51,eteplirsen,"September 19, 2016 ",Treatment of particular type of Duchenne muscular dystrophy ,Exondys 51
FARYDAK,panobinostat,"February 23, 2015",Treatment of multiple myeloma,Farydak
FASENRA,benralizumab,"November 14, 2017",Treatment of a specific type of severe asthma (called eosinophilic phenotype asthma),Fasenra
FETROJA,cefiderocol,"November 14, 2018",For the treatment of a complicated urinary tract infection.,Fetroja
FIRDAPSE,amifampridine,"November 28, 2018",Treatment of Lambert-Eaton myasthenic syndrome (LEMS) in adults.,Firdapse
FLUORODOPA F 18, ,"October 10, 2019",Visual detection of certain nerve cells in adult patients with suspected Parkinsonian Syndromes (PS).,Fluorodopa f 18
FOTIVDA,tivozanib,"March 10, 2021",Treatment of adult patients with advance kidney cancer (advanced renal cell carcinoma or RCC) that has been treated with 2 or more prior medicines and has come back or did not respond to treatment.,Fotivda
Ga 68 PSMA-11, ,"December 1, 2020",Detection of specific cancer lesions in men with prostate cancer,Ga 68 PSMA-11
Ga-68-DOTATOC, ,"August 21, 2019",Detection of of tumors called somatostatin receptor positive neuro-endocrine tumors (NETs),Ga-68-dotatoc
GALAFOLD,migalastat hydrochloride,"August 10, 2018",Treatment of Fabry disease in adults,Galafold
GAMIFANT,emapalumab-lzsg,"November 20, 2018",Treatment of patients with primary hemophagocytic lymphohistiocytosis,Gamifant
GAVRETO,pralsetinib,"September 4, 2020",Treatment of non-small cell lung cancer,Gavreto
GEMTESA,vibegron,"December 23, 2020",Treatment of symptoms of overactive bladder,Gemtesa
GENVOYA,"elvitegravir, cobicistat, emtricitabine, and tenofovir alafenamide","November 5, 2015",Complete regimen for the treatment of HIV-1 in adults and children 12 years of age and older.,Genvoya
GIAPREZA,angiotensin II,"December 21, 2017",Used to increase dangerously low blood pressure in adults with certain types of shock.,Giapreza
GIVLAARI,givosiran,"November 20, 2019",For the treatment of adults with acute hepatic porphyria (AHP).?,Givlaari
HEMLIBRA,emicizumab,"November 16, 2017",Prevent ion or reduction of bleeding episodes in adults and children with hemophilia A.,Hemlibra
IBRANCE,palbociclib,"February 3, 2015","Treatment of a specific form of advanced breast cancer called ER-positive, HER2-negative (ER+/HER-) breast cancer in women who have gone through menopause (post-menopausal)",Ibrance
IBSRELA,tenapanor,"September 12, 2019",Irritable bowel syndrome with constipation,Ibsrela
IDHIFA,enasidenib,"August 1, 2017",Treatment of adults with acute myeloid leukemia (AML) that have a mutation in a gene called IDH2 and whose disease has come back or has not improved after previous treatment(s).,IDHIFA
ILUMYA,tildrakizumab-asmn,"March 20, 2018",For the treatment of moderate to severe plaque psoriasis,Ilumya
IMCIVREE,setmelanotide,"May 1, 2017",Treatment of obesity in patients 6 years and older with rare disorder,Imcivree
IMFINZI,durvalumab,"May 1, 2017",Treatment of a type of bladder and urinary tract cancer called urothelial carcinoma.,Imfinzi
INGREZZA,valbenazine,"April 11, 2017",Treatment of tardive dyskinesia,Ingrezza
INMAZEB,"atoltivimab, maftivimab, and odesivimab-ebgn","October 14, 2020",?Treatment of Zaire ebolavirus (Ebola virus) infection,Inmazeb
INQOVI,decitabine and cedazuridine,"July 7, 2020",Treatment of adults with myelodysplastic syndromes (MDS) including chronic myelomonocytic leukemia.,Inqovi
INREBIC,fedratinib,"August 16, 2019",Treatment of myelofibrosis,Inrebic
ISTURISA,osilodrostat,"March 6, 2020",Treatment of Cushing's disease,Isturisa
JEMPERLI,dostarlimab-glxy,"April 22, 2021",Treatment of adult females with uterine cancer (endometrial cancer).,Jemperli
JEUVEAU,efinaconazolebotulinum toxin- type A,"February 1, 2019",Temporary improvement of the appearance of glabellar lines (wrinkles between the eyebrows).,Jeuveau
JUBLIA,efinaconazole,"June 6, 2014",Treatment of fungal infection of the toenails due to two common forms of fungi,Jublia
KANUMA,sebelipase alfa,"December 8, 2015",Treatment of Lysosomal Acid Lipase (LAL) deficiency,Kanuma
KENGREAL,cangrelor,"June 22, 2015",Prevention of coronary artery blood clot formation in patients undergoing PCI,Kengreal
KEVZARA,sarilumab,"May 22, 2017",Treatment  of adult patients with moderately to severely active rheumatoid arthritis (RA),Kevzara
KIMMTRAK,tebentafusp,"January 25, 2022",To treat unresectable or metastatic uveal melanoma,Kimmtrak
KISQALI,ribociclib,"March 13, 2017",Treatment of a specific form of advanced breast cancer,Kisqali
KLISYRI,tirbanibulin,"December 14, 2020",Treatment of actinic keratosis,Klisyri
KOSELUGO,selumetinib,"April 10,2020",For the treatment of plexiform neurofibroma,Koselugo
KRINTAFEL,tafenoquine,"July 20, 2018","Prevention of malaria relapse caused by the parasite, Plasmodium vivax",Krintafel
KYBELLA,deoxycholic acid,"April 29, 2015",Treatment for double chin,Kybella
LAMPIT,nifurtimox,"August 6, 2020",Treatment of Chagas disease,Lampit
LARTRUVO,olaratumab,"October 19, 2016",Treatment of soft tissue sarcoma,Lartruvo
LENVIMA,lenvatinib,"February 13, 2015","Treatment of progressive, differentiated thyroid cancer (DTC) that can no longer be treated with radioactive iodine ",Lenvima
LEQVIO,inclisiran,"December 22, 2021",To treat heterozygous familial hypercholesterolemia or clinical atherosclerotic cardiovascular disease as an add-on therapy,Leqvio
LIBTAYO,cemiplimab-rwlc,"September 25, 2018",Treatment of advanced skin cancer (squamous cell carcinoma),Libtayo
LOKELMA,sodium zirconium cyclosilicate,"May 18, 2018",Treatment of hyperkalemia in adults,Lokelma
LONSURF,trifluridine and tipiracil,"September 22, 2015",Treatment of advanced colorectal cancer,Lonsurf
LORBRENA,lorlatinib,"November 2, 2018",Treatment of specific type of lung cancer,Lorbrena
LUCEMYRA,lofexidine hydrochloride,"May 16, 2018",For the treatment of symptoms associated with opioid withdrawal during abrupt opioid discontinuation.,Lucemyra
LUMOXITI,moxetumomab pasudotox-tdfk,"September 13, 2018",Treatment of hairy cell leukemia in adults,Lumoxiti
LUPKYNIS,voclosporin,"January 22, 2021",Treatment of lupus nephritis,Lupkynis
LUTATHERA,lutetium 177 dotate,"January 26, 2018",For the treatment of somatostatin receptor-positive gastroenteropancreatic neuroendocrine tumors (GEP-NETs),Lutathera
MACRILEN,macimorelin acetate ,"December 20, 2017 ",Diagnosis of growth hormone deficiency in adults ,Macrilen
MARGENZA,margetuximab-cmkb,"December 16, 2020 ",Treatment of metastatic breast cancer,Margenza
MAVYRET,glecaprevir and pibrentasvir,"August 3, 2017","Treatment of adults who have a specific type of hepatitis C virus (HCV) infection, called chronic hepatitis C virus genotypes 1, 2, 3, 4, 5 or 6 infection",Mavyret
MAYZENT,siponimod,"March 26, 2019",For treatment of adults with relapsing forms of multiple sclerosis,Mayzent
MEKTOVI,binimetinib,"June 27, 2018",Treatment of  melanoma (a type of skin cancer)  when used with another drug encorafenib.,Mektovi
MEPSEVII,vestronidase alfa-vjbk,"November 15, 2017","Treatment of Mucopolysaccharidosis VII (MPS, VII, Sly syndrome)",Mepsevii
MONJUVI,tafasitamab-cxix,"July 31, 2020",For the treatment of diffuse large B-cell lymphoma (DLBCL),Monjuvi
MOTEGRITY,prucalopride,"December 14, 2018",?Treatment of chronic idiopathic constipation (CIC) in adults.,Motegrity
MOUNJARO,tirzepatide,"May 13, 2022","To improve blood sugar control in diabetes, in addition to diet and exercise",Mounjaro
MOXIDECTIN,moxidectin,"June 13, 2018",Treatment of onchocerciasis in patients 12 years of age and older,Moxidectin
MULPLETA,lusutrombopag,"July 31, 2018",Treatment of adults with low platelet count,Mulpleta
NATPARA,parathyroid hormone,"January 23, 2015",Control of hypocalcemia along with calcium and vitamin D in adults with hypoparathyroidism,Natpara
NERLYNX,neratinib,"July 17, 2017",Treatment of an early stage HER2 -positive breast cancer.,Nerlynx
NETSPOT,kit for the preparation of gallium Ga 68 dotatate injection,"June 1, 2016",Detection of a specific type of tumors called somatostatin receptor positive neuro-endocrine tumors (NETs),Netspot
NEXLETOL,bempedoic acid,"February 21, 2020",Treatment of high LDL cholesterol,Nexletol
NEXVIAZYME,avalglucosidase alfa-ngpt,"August 6, 2021",Treatment of patients 1 year of age and older with late-onset Pompe disease (LOPD),Nexviazyme
NINLARO,ixazomib ,"November 20, 2015 ",Treatment of multiple myeloma ,Ninlaro 
NOURIANZ,istradefylline  ,"August 27, 2019",Treatment of “off episodes” in patients with Parkinson’s disease,Nourianz
NUBEQA,darolutamide ,"July 30, 2019 ",Treatment of prostate cancer ,Nubeqa 
NUCALA,mepolizumab,"November 4, 2015",Treatment of a specific type of severe asthma (called eosinophilic phenotype asthma),Nucala
NULIBRY,fosdenopterin,"February 26, 2021",To reduce the risk of death in patients with molybdenum cofactor deficiency (MoCD) Type A.,Nulibry
NUPLAZID,pimavanserin,"April 29, 2016",Treatment of hallucinations and delusions in patients with Parkinson’s disease,Nuplazid
NURTEC ODT,rimegepant,"February 27, 2020",Treatment of acute migraine,Nurtec Odt
NUZYRA,omadacycline,"October 2, 2018",Treatment of community-acquired bacterial pneumonia (CABP),Nuzyra
OCALIVA,obeticholic acid,"May 27, 2016",Treatment of primary biliary cholangitis in adults,Ocaliva
OCREVUS,ocrelizumab,"March 28, 2017",Treatment of patients with two types of multiple sclerosis,Ocrevus
ODOMZO,sonidegib,"July 24, 2015",Treatment of locally advanced basal cell carcinoma ,Odomzo
OLINVYK,oliceridine,"August 7, 2020",For the treatment of acute pain,Olinvyk
OLUMIANT,baricitinib,"May 31, 2018",Treatment of adult patients with rheumatoid arthritis (RA) whose disease was not well controlled using RA medications called Tumor Necrosis Factor (TNF) antagonists,Olumiant
OMEGAVEN,fish oil triglycerides,"July 27, 2018",Treatment of Parenteral nutrition-associated cholestasis (PNAC),Omegaven
ONGENTYS,opicapone,"April 24,2018",Treatment of “off episodes” in patients with Parkinson’s disease,Ongentys
ONPATTRO,patisiran,"August 10, 2018",Treatment of nerve damage in adult patients with hereditary tranthyretin-mediated amyloidosis,Onpattro
ORGOVYX,relugolix,"December 18, 2020",Treatment of advanced prostate cancer,Orgovyx
ORILISSA,elagolix,"July 23, 2018",Treatment of moderate to severe pain associated with endometriosis,Orilissa
ORKAMBI,lumacaftor/ivacaftor,"July 2, 2015",Treatment of cystic fibrosis,Orkambi
ORLADEYO,berotralstat,"December 3, 2020",Prevention of attacks of hereditary angioedema (HAE) in patients 12 years and older.,Orladeyo
OXBRYTA,voxelotor,"November 25, 2019",Treatment of sickle cell disease.,Oxbryta
OXERVATE,cenegermin-bkbj,"August 22, 2018",Treatment of neurotrophic keratitis ,Oxervate
OXLUMO,lumasiran,"November 23, 2018",Lowering the level of urine oxalate in children and adults with primary hyperoxaluria type 1 (PH1).,Oxlumo
OZEMPIC ,semaglutide ,"December 5, 2017 ",Improvement of blood sugar control in adults with type 2 diabetes mellitus (DM) when used in addition to diet and exercise. ,Ozempic 
PADCEV,enfortumab vedotin-ejfv,"December 13, 2019",For the treatment of a type of bladder and urinary tract cancer called urothelial carcinoma.,Padcev
PALYNZIG,pegvaliase-pqpz,"May 24, 2018",Lowering the blood levels of phenylalanine in adults with phenylketonuria (PKU),Palynziq
PARSABIV,etelcalcetide,"February 7, 2017",Treat high levels of parathyroid hormone (PTH),Parsabiv
PEMAZYRE,pemigatinib,"April 17, 2020",Treatment of adults with metastatic bile duct cancer (cholangiocarcinoma),Pemazyre
PEPAXTO,melphalan flufenamide,"February 26, 2021",Treatment of adults with multiple myeloma,Pepaxto
PIFELTRO,doravirine,"August 30, 2018",Treatment of HIV-1 infection in adults,Pifeltro
PIQRAY,alpelisib,"May 24, 2019",Treatment of advanced breast cancer,Piqray
PIZENSY,lactitol,"February 12, 2020",Treatment of a type of constipation called chronic idiopathic constipation (CIC),Pizensy
POLIVY,polatuzumab vedotin-piiq,"June 10, 2019",Treatment of adults with diffuse large B-cell lymphoma,Polivy
PONVORY,ponesimod,"March 18, 2021",Treatment of relapsing forms of multiple sclerosis (MS),Ponvory
PORTRAZZA,necitumumab,"November 24, 2015",Treatment of metastatic squamous non-small cell lung cancer,Portrazza
POTELIGEO,mogamulizumab-kpkc,"August 8, 2018",Treatment of  adults with mycosis fungoides or Sézary syndrome,Poteligeo
PRALUENT ,alirocumab,"July 24, 2015",Treatment of certain patients with high cholesterol ,Praluent 
PRAXBIND,idarucizumab,"October 16, 2015",Reversal of the anticoagulant effects of Pradaxa during emergency situations or when there is a need to reverse its blood-thinning effects,Praxbind
PRETOMANID, ,"August 14, 2019",?Treatment of lung tuberculosis in limited population,Pretomanid
PREVYMIS,letermovir,"November 8, 2017",Prevention of cytomegalovirus (CMV) infection and disease in adults,Prevymis
PYLARIFY,piflufolastat F 18,"May 26, 2021",To identify prostate-specific membrane antigen-positive lesions in prostate cancer,Pylarify
PYRUKYND,mitapivat,"February 17, 2022",Treatment of hemolytic anemia in adults with pyruvate kinase (PK) deficiency,Pyrukynd
QELBREE,viloxazine,"April 2, 2021",Treatment of attention deficit hyperactivity disorder (ADHD) in children 6 to 17 years of age,Qelbree
QINLOCK,ripretinib,"May 15, 2020",Treatment of gastrointestinal stromal tumors.,Qinlock
QULIPTA,atogepant,"September 28, 2021",To prevent episodic migraines,Qulipta
QUVIVIQ,daridorexant,"January 7, 2022","Treatment of adult patients with insomnia, characterized by difficulties with sleep onset and/or sleep maintenance.",Quvivq
RADICAVA,edaravone,"May 5, 2017",Treatment of Amyotrophic Lateral Sclerosis (ALS),Radicava
REBLOZYL,luspatercept-aamt,"November 8, 2019",For the treatment of anemia in adult patients with beta thalassemia,Reblozyl
RECARBRIO,"imipenem, cilastatin, and relebactam","July 16, 2019",Treatment of complicated urinary tract infection,Recarbrio
REPATHA,evolocumab,"August 27, 2015",Treatment of certain patients with high cholesterol,Repatha
RETEVMO,selpercatinib,"May 8, 2020",Treatment of certain cancers caused by abnormal RET (rearranged during transfection) genes,Retevmo
REVCOVI,evolocumab,"October 5, 2018",Treatment of adenosine deaminase severe combined immune deficiency.,Revcovi
REXULTI,brexpiprazole,"July 10, 2015",Treatment of major depressive disorder,Rexulti 
REYVOW,lasmiditan,"October 11, 2019","Treatment of acute migraine with or without aura, in adults",Reyvow
REZUROCK,belumosudil,"July 16, 2021",To treat chronic graft-versus-host disease after failure of at least two prior lines of systemic therapy,Rezurock
RHOPRESSA,netarsudil,"December 18, 2017","Reducing elevated intraocular pressure, when the pressure inside the eye is too high",Rhopressa
RINVOQ,upadacitinib,"August 16, 2019",Treatment for rheumatoid arthritis,Rinvoq
ROZLYTREK,entrectinib,"August 15, 2019",Treatment of non-small cell lung cancer,Rozlytrek
ROZLYTREK,entrectinib,"August 15, 2019",Treatment of certain types of solid tumors ,Rozlytrek
RUBRACA,rucaparib,"December 19, 2016",Treatment of women with certain type of advanced ovarian cancer,Rubraca
RUKOBIA,fostemsavir,"July 2, 2020",Treatment of HIV infection in patients with limited treatment options.,Rukobia
RYBREVANT,amivantamab-vmjw,"May 21, 2021",Treatment of adults with non-small cell lung cancer (NSCLC).,Rybrevant
RYDAPT,midostaurin,"April 28, 2017","Treatment of adults with acute myeloid leukemia (AML) that has a mutation in a gene called FLT3, in combination with chemotherapy",Rydapt 
RYDAPT,midostaurin,"April 28, 2017",Treatment of adults with advanced systemic mastocytosis (SM),Rydapt 
RYLAZE,asparaginase erwinia chrysanthemi (recombinant)-rywn,"June 30, 2021","To treat acute lymphoblastic leukemia and lymphoblastic lymphoma in patients who are allergic to E. coli-derived asparaginase products, as a component of a chemotherapy regimen",Rylaze
RYZODEG,insulin degludec and insulin aspart injection,"September 26, 2015",Improves blood sugar control in adults with diabetes mellitus (DM),Ryzodeg
SAPHNELO,anifrolumab-fnia,"July 30, 2021",To treat moderate-to severe systemic lupus erythematousus along with standard therapy,Saphnelo
SARCLISA,isatuximab-irfc,"March 2, 2020 ",Treatment of multiple myeloma,Sarclisa  
SAVAYSA,edoxaban,"January 8, 2015 ",Prevention of stroke in patients with atrial fibrillation,Savaysa  
SCEMBLIX,asciminib,"October 29, 2021",To treat Philadelphia chromosome-positive chronic myeloid leukemia with disease that meets certain criteria,Scemblix
SCENESSE,afamelanotide,"October 08, 2019",Increasing pain-free light exposure in adult patients with a history of phototoxic reactions (damage to skin) from erythropoietic protoporphyria,Scenesse  
SEYSARA,sarecycline,"October 1, 2018",For the treatment of certain types of acne vulgaris in patients 9 years and older,Seysara
SILIQ,brodalumab,"February 15, 2017",SILIQ is used for treatment of moderate to severe plaque psoriasis in adults,Siliq
SIVEXTRO,tedizolid,"June 20, 2014",Treatment of serious bacterial skin infections known as acute bacterial skin and skin structure infections,Sivextro
SKYRIZI,risankizumab-rzaa,"April 23, 2019",Treatment of moderate to severe plaque psoriasis,Skyrizi
SOGROYA,somapacitan-beco,"August 28, 2020",Replacement of growth hormone in adults with growth hormone deficiency (GHD).,Sogroya
SOLOSEC,secnidazole,"September 15, 2017",Used to treat adult women with vaginal infections caused by bacteria known as bacterial vaginosis,Solosec
SPINRAZA,nusinersen,"December 23, 2016",Treatment of spinal muscular atrophy,SPINRAZA
STEGLATRO,ertugliflozin,"December 19, 2017",Improvement of blood sugar control in adults with type 2 diabetes when used in addition to diet and exercise.,Steglatro
